Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
27,0,1,0,1
62,0,1,1,2
340,0,2,1,3
747,0,3,1,4
770,0,3,2,5
941,1,3,2,6
1010,2,3,2,7
1022,2,4,2,8
1049,2,5,2,9
1087,2,5,3,10
1289,3,5,3,11
1311,4,5,3,12
1399,4,6,3,13
1479,4,6,4,14
1591,4,7,4,15
1701,4,8,4,16
1890,4,8,5,17
2025,4,9,5,18
2033,4,10,5,19
2068,4,11,5,20
2073,5,11,5,21
2074,6,11,5,22
2081,6,11,6,23
2228,6,11,7,24
2335,6,12,7,25
2539,6,13,7,26
2580,7,13,7,27
2636,7,14,7,28
2682,7,15,7,29
2712,7,15,8,30
2837,7,15,9,31
3005,7,16,9,32
3016,8,16,9,33
3017,8,16,10,34
3023,8,17,10,35
3046,8,18,10,36
3047,8,19,10,37
3058,9,19,10,38
3061,10,19,10,39
3068,10,20,10,40
3126,10,20,11,41
3226,10,20,12,42
3324,10,21,12,43
3364,10,21,13,44
3378,11,21,13,45
3401,11,22,13,46
3407,11,22,14,47
3462,11,23,14,48
3485,11,23,15,49
3520,11,24,15,50
3625,11,25,15,51
3654,11,25,16,52
3711,11,26,16,53
3828,12,26,16,54
3837,12,27,16,55
4002,12,27,17,56
4002,12,28,17,57
4002,12,29,17,58
4014,12,29,18,59
4022,12,30,18,60
4047,12,30,19,61
4053,13,30,19,62
4061,13,30,20,63
4068,13,30,21,64
4082,13,31,21,65
4100,13,32,21,66
4127,13,32,22,67
4151,13,32,23,68
4171,13,32,24,69
4183,14,32,24,70
4219,15,32,24,71
4303,15,33,24,72
4305,15,34,24,73
4335,15,35,24,74
4364,16,35,24,75
4369,16,35,25,76
4474,16,35,26,77
4480,16,35,27,78
4512,16,36,27,79
4517,17,36,27,80
4544,17,36,28,81
4561,18,36,28,82
4631,18,37,28,83
4646,18,38,28,84
4664,18,39,28,85
4694,18,40,28,86
4781,18,40,29,87
4802,19,40,29,88
4818,19,41,29,89
4822,19,41,30,90
4841,19,42,30,91
4854,19,42,31,92
4862,20,42,31,93
