Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
2,0,0,1,1
2,1,0,1,2
3,1,1,1,3
988,1,2,1,4
1002,1,2,2,5
1002,2,2,2,6
1011,2,3,2,7
1025,3,3,2,8
1181,3,3,3,9
1291,3,4,3,10
1303,3,4,4,11
1514,3,5,4,12
1645,4,5,4,13
1842,4,6,4,14
2002,5,6,4,15
2007,6,6,4,16
2018,6,7,4,17
2019,6,7,5,18
2027,7,7,5,19
2166,7,8,5,20
2208,7,9,5,21
2383,7,9,6,22
2470,8,9,6,23
2658,9,9,6,24
2691,9,9,7,25
2698,9,10,7,26
2719,9,11,7,27
2854,10,11,7,28
2898,10,11,8,29
2970,11,11,8,30
3002,11,12,8,31
3012,11,12,9,32
3014,12,12,9,33
3015,13,12,9,34
3044,13,13,9,35
3131,13,14,9,36
3213,14,14,9,37
3313,14,14,10,38
3348,14,15,10,39
3356,15,15,10,40
3366,15,16,10,41
3484,16,16,10,42
3621,16,17,10,43
3663,17,17,10,44
3728,18,17,10,45
3865,19,17,10,46
3868,19,18,10,47
3889,20,18,10,48
3922,20,19,10,49
4013,20,20,10,50
4024,21,20,10,51
4051,21,21,10,52
4054,21,21,11,53
4054,21,21,12,54
4078,21,21,13,55
4226,22,21,13,56
4254,22,22,13,57
4288,23,22,13,58
4289,24,22,13,59
4296,24,22,14,60
4326,25,22,14,61
4355,25,22,15,62
4419,25,23,15,63
4421,26,23,15,64
4432,26,24,15,65
4507,27,24,15,66
4514,28,24,15,67
4597,28,24,16,68
4637,29,24,16,69
4648,30,24,16,70
4716,30,25,16,71
4840,31,25,16,72
