Time Unit,Average Fear Level,Average Hunger Level,Average Energy Level
Time Unit,Vervet Population,Predator Population
1,0,440.9167374774503,519.0832625225497
2,0,441.8103072421685,518.1896927578316
3,0,441.58436317699153,518.4156368230084
4,0,441.89621840185004,518.1037815981498
5,0,441.6477942627303,518.3522057372695
6,0,441.4069580476986,518.5930419523015
7,0,441.1736357473095,518.8263642526905
8,0,440.29503269646625,519.7049673035337
9,0,439.42844186545614,520.5715581345439
10,0,438.573745737538,521.4262542624621
11,0,437.73082797618576,522.2691720238142
12,0,436.89957341330233,523.1004265866976
13,0,435.463898505343,524.536101494657
14,0,434.64533982612903,525.3546601738709
15,0,433.83810541097614,526.1618945890236
16,0,433.0420846457116,526.9579153542884
17,0,431.5317264394211,528.468273560579
18,0,430.03785964327494,529.9621403567251
19,0,428.56032279693187,531.4396772030683
20,0,427.09895605933684,532.901043940663
21,0,425.13956431377125,534.8604356862287
22,0,423.2092804849606,536.7907195150395
23,0,421.37950123356825,538.6204987664318
24,0,418.9690466784742,541.0309533215258
25,0,415.9411071794828,544.0588928205173
26,0,412.9484082468383,547.0515917531618
27,0,409.35165691746397,550.6483430825361
28,0,405.8060276300757,554.1939723699242
29,0,401.67326409595233,558.3267359040477
30,54,443.64505287599,516.35494712401
31,54,437.2062705571155,522.7937294428845
32,54,432.0582570903238,527.9417429096761
33,54,426.9911444144789,533.0088555855212
34,54,422.0031189825869,537.9968810174132
35,54,416.8434896546606,543.1565103453394
36,54,411.14353700464284,548.856462995357
37,54,405.53631506095485,554.463684939045
38,54,400.01979716687305,559.980202833127
39,54,394.5920065685987,565.4079934314012
40,54,390.205215709483,569.7947842905171
41,54,386.1171466389201,573.8828533610798
42,54,382.52506380689664,577.4749361931032
43,54,378.3261571329296,581.6738428670706
44,54,374.179545237091,585.8204547629093
45,54,370.0843999844556,589.9156000155444
46,54,366.0399076953401,593.9600923046598
47,54,362.04526887801154,597.9547311219884
48,54,358.7320038018518,601.2679961981484
49,54,355.4623945229053,604.5376054770946
50,54,353.3461366463991,606.653863353601
51,54,350.7444935106823,609.2555064893177
52,54,348.1801074146766,611.8198925853235
53,54,345.65234494532757,614.3476550546725
54,54,342.29973368788194,617.7002663121178
55,54,338.9051476466538,621.0948523533464
56,54,335.5778130698922,624.4221869301078
57,54,332.05484039190253,627.9451596080975
58,54,328.72091614988335,631.2790838501166
59,54,326.12452846589923,633.875471534101
60,86,366.11169198309364,593.8883080169064
61,87,345.1641352605639,614.019538208824
62,87,340.78826840648026,618.3954050629076
63,87,338.71307833593727,620.4705951334505
64,87,336.6744445886859,622.5092288807018
65,87,335.2355126668517,623.948160802536
66,87,333.8278873694832,625.3557860999047
67,87,331.0897736631804,628.0938998062072
68,87,328.95621529119086,630.227458178197
69,87,326.3715914346373,632.8120820347505
70,87,324.1717012340375,635.0119722353503
71,87,322.01250176913163,637.1711717002562
72,87,320.26851238264356,638.9151610867442
73,87,318.20693538332114,640.9767380860666
74,87,316.4682258986108,642.715447570777
75,87,315.46239931559853,643.7212741537894
76,87,314.1448588362093,645.0388146331785
77,87,313.5509176169018,645.6327558524861
78,87,311.8803965934566,647.3032768759311
79,87,311.33272302808234,647.8509504413054
80,87,310.0944009443723,649.0892725250156
81,87,309.5782238913312,649.6054495780566
82,87,308.79196953933115,650.3917039300569
83,87,307.37501528788783,651.8086581814998
84,87,306.66150143716857,652.5221720322194
85,87,305.62804224614615,653.5556312232413
86,87,305.33776548562525,653.8459079837625
87,87,303.9214544837941,655.2622189855937
88,87,303.6902781437894,655.4933953255984
89,87,303.4866184544164,655.6970550149712
90,136,341.5124998922887,617.6711735770989
91,136,333.860288695456,625.3233847739318
92,136,331.31496247203046,627.868710997357
93,136,329.5508898054647,629.632783663923
94,136,329.0733890384414,630.1102844309463
95,136,328.6604039931212,630.5232694762664
96,136,328.7420216515724,630.4416518178155
97,136,328.6960479288226,630.4876255405655
98,136,328.1034363325433,631.0802371368444
