Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
65,177,1,1,1,3,1,1,0,2,21,0,303.77864146962787,684.9219235021235
66,177,1,1,1,3,1,1,0,2,21,0,302.6303971970168,686.0701677747352
67,177,1,1,1,3,1,1,0,2,21,0,301.63546255082895,687.0651024209226
68,177,1,1,1,3,1,1,0,2,21,0,300.6015455118889,688.0990194598626
69,177,1,1,1,3,1,1,0,2,21,0,299.6771242802851,689.0234406914659
70,177,1,1,1,3,1,1,0,2,21,0,298.5081854184493,690.1923795533022
71,176,1,1,1,3,1,1,0,2,22,0,293.5841445916228,695.0522190447405
72,176,1,1,1,3,1,1,0,2,22,0,292.65152698788097,695.9848366484825
73,176,1,1,1,3,1,1,0,2,22,0,291.7454855283143,696.8908781080488
74,176,1,1,1,3,1,1,0,2,22,0,290.94242193037695,697.6939417059865
75,176,1,1,1,3,1,1,0,2,22,0,290.29677313628036,698.3395905000837
76,176,1,1,1,3,1,1,0,2,22,0,289.63691573726135,698.999447899102
77,176,1,1,1,3,1,1,0,2,22,0,288.8766084081619,699.7597552282022
78,176,1,1,1,3,1,1,0,2,22,0,288.1178713972841,700.5184922390797
79,176,1,1,1,3,1,1,0,2,22,0,287.67176058975224,700.9646030466116
80,176,1,1,1,3,1,1,0,2,22,0,287.14264761584235,701.4937160205213
81,176,1,1,1,3,1,1,0,2,22,0,286.6330043129829,702.0033593233801
82,176,1,1,1,3,1,1,0,2,22,0,286.1444309783499,702.4919326580143
83,176,1,1,1,3,1,1,0,2,22,0,285.39154165057283,703.2448219857913
84,175,1,1,1,3,1,1,0,2,23,0,281.0224418960415,707.5489866753866
85,175,1,1,1,3,1,1,0,2,23,0,280.5027746070811,708.0686539643473
86,174,1,1,1,3,1,1,0,2,24,0,275.6809507662539,712.8247963601829
87,174,1,1,1,3,1,1,0,2,24,0,274.7818331182017,713.7239140082347
88,174,1,1,1,3,1,1,0,2,24,0,273.9998130659268,714.50593406051
89,174,1,1,1,3,1,1,0,2,24,0,272.9082141010458,715.597533025391
90,173,1,1,1,3,1,1,0,2,25,69,306.38548181982304,682.0538245385585
91,169,1,1,1,3,1,1,0,2,29,104,281.75602089039506,706.4096595829773
92,169,1,1,1,3,1,1,0,2,29,104,277.16585016609275,710.9998303072798
93,169,1,1,1,3,1,1,0,2,29,104,274.63025190497166,713.5354285684008
94,169,1,1,1,3,1,1,0,2,29,104,272.85839857567373,715.3072818976991
95,169,1,1,1,3,1,1,0,2,29,104,271.33489338420287,716.8307870891698
96,169,1,1,1,3,1,1,0,2,29,104,270.330960945178,717.8347195281948
97,169,1,1,1,3,1,1,0,2,29,104,269.62887287433927,718.5368075990336
98,169,1,1,1,3,1,1,0,2,29,104,269.1492527509042,719.0164277224687
99,168,1,1,1,3,1,1,0,2,30,104,264.5557261474939,723.5395119477447
100,168,1,1,1,3,1,1,0,2,30,104,264.1060195505159,723.9892185447218
101,168,1,1,1,3,1,1,0,2,30,104,263.1866066726106,724.9086314226275
102,168,1,1,1,3,1,1,0,2,30,104,262.35375150625975,725.741486588978
103,167,1,1,1,3,1,1,1,3,30,105,262.98655701212226,725.0373950836856
104,167,1,1,1,3,1,1,1,3,30,105,262.3909335194118,725.6330185763961
