Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
3,1,0,0,1
8,1,0,1,2
32,1,1,1,3
333,1,2,1,4
353,1,2,2,5
1002,1,3,2,6
1002,1,4,2,7
1004,2,4,2,8
1038,2,4,3,9
1279,3,4,3,10
1354,4,4,3,11
1460,4,4,4,12
1531,4,5,4,13
1657,5,5,4,14
1718,6,5,4,15
1988,6,6,4,16
2002,7,6,4,17
2002,7,7,4,18
2005,8,7,4,19
2016,8,7,5,20
2061,8,8,5,21
2102,9,8,5,22
2199,9,8,6,23
2425,10,8,6,24
2500,10,8,7,25
2674,10,9,7,26
2681,11,9,7,27
2802,11,9,8,28
2837,12,9,8,29
2941,12,9,9,30
2949,12,10,9,31
3003,12,11,9,32
3021,12,11,10,33
3024,13,11,10,34
3038,14,11,10,35
3038,14,12,10,36
3068,14,13,10,37
3197,14,13,11,38
3242,14,13,12,39
3304,14,14,12,40
3369,14,14,13,41
3428,14,14,14,42
3433,15,14,14,43
3504,16,14,14,44
3605,16,15,14,45
3606,17,15,14,46
3654,18,15,14,47
3660,18,16,14,48
3704,19,16,14,49
3771,20,16,14,50
3780,20,17,14,51
3805,21,17,14,52
3814,21,17,15,53
3910,21,17,16,54
4002,22,17,16,55
4002,23,17,16,56
4002,23,17,17,57
4011,23,17,18,58
4012,23,18,18,59
4017,24,18,18,60
4074,25,18,18,61
4142,25,19,18,62
4160,25,20,18,63
4228,25,20,19,64
4236,26,20,19,65
4283,27,20,19,66
4298,27,20,20,67
4321,27,20,21,68
4339,27,21,21,69
4343,27,22,21,70
4446,28,22,21,71
4568,28,22,22,72
4636,28,22,23,73
4679,29,22,23,74
4723,30,22,23,75
4724,30,23,23,76
4731,30,24,23,77
4736,31,24,23,78
4811,32,24,23,79
4841,33,24,23,80
4873,33,24,24,81
4877,33,25,24,82
4932,33,26,24,83
5006,34,26,24,84
5007,34,27,24,85
5018,35,27,24,86
5037,36,27,24,87
5043,36,27,25,88
5056,36,27,26,89
5068,36,27,27,90
5095,37,27,27,91
5109,37,28,27,92
5148,38,28,27,93
