Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
86,178,1,1,1,3,1,0,0,1,21,30,303.17816352583986,685.5858814179808
87,178,1,1,1,3,1,0,0,1,21,30,302.27389685768173,686.4901480861383
88,178,1,1,1,3,1,0,0,1,21,30,301.34751730769557,687.4165276361248
89,177,1,1,1,3,1,0,0,1,22,30,296.4470359294077,692.2535290423438
90,177,1,1,1,3,1,0,0,1,22,53,338.8826282072211,649.8179367645307
91,177,1,1,1,3,1,0,0,1,22,53,331.1613342265621,657.5392307451891
92,177,1,1,1,3,1,0,0,1,22,53,327.8862041825725,660.8143607891789
93,177,1,1,1,3,1,0,0,1,22,53,325.7826860432167,662.9178789285344
94,177,1,1,1,3,1,0,0,1,22,53,324.7162249068954,663.9843400648562
95,177,1,1,1,3,1,0,0,1,22,53,324.17202425182955,664.5285407199219
96,177,1,1,1,3,1,0,0,1,22,53,323.6570287546624,665.0435362170896
97,177,1,1,1,3,1,0,0,1,22,53,323.1438579458316,665.5567070259202
98,176,1,1,1,3,1,0,0,1,23,53,318.79865100703495,669.837712629329
99,176,1,1,1,3,1,0,0,1,23,53,318.4738002225541,670.1625634138089
100,175,1,1,1,3,1,0,0,1,24,53,314.1835898049794,674.3878387664496
101,175,1,1,1,3,1,0,0,1,24,53,313.9073527959533,674.6640757754749
102,175,1,1,1,3,1,0,0,1,24,53,313.4403299915214,675.1310985799072
103,175,1,1,1,3,1,0,0,1,24,53,313.07627446924533,675.4951541021834
104,175,1,1,1,3,1,0,0,1,24,53,312.277517249042,676.2939113223866
105,174,1,1,1,3,1,1,0,2,24,49,312.79567725208716,675.7100698743498
106,174,1,1,1,3,1,1,0,2,24,49,312.1790495432269,676.3266975832101
107,174,1,1,1,3,1,1,0,2,24,49,311.4755094537494,677.0302376726871
108,174,1,1,1,3,1,1,0,2,24,49,310.91743765544766,677.5883094709887
109,174,1,1,1,3,1,1,0,2,24,49,310.0457869961978,678.459960130239
110,174,1,1,1,3,1,1,0,2,24,49,309.02841843907987,679.4773286873566
111,174,1,1,1,3,1,1,0,2,24,49,307.91226607638566,680.5934810500514
112,174,1,1,1,3,1,1,0,2,24,49,306.7909135477079,681.714833578729
113,174,1,1,1,3,1,1,0,2,24,49,305.70639919940203,682.7993479270352
114,174,1,1,1,3,1,1,0,2,24,49,304.8708881913321,683.6348589351041
115,174,1,1,1,3,1,1,0,2,24,49,303.63428779502703,684.8714593314094
116,174,1,1,1,3,1,1,0,2,24,49,302.10498886975216,686.4007582566842
117,174,1,1,1,3,1,1,0,2,24,49,301.17138081575223,687.3343663106845
118,174,1,1,1,3,1,1,0,2,24,49,300.31855037039594,688.1871967560411
119,174,1,1,1,3,1,1,0,2,24,49,299.48805423415905,689.0176928922771
120,174,1,1,1,3,1,1,0,2,24,86,340.9032990655766,647.6024480608608
121,169,1,1,1,3,1,1,0,2,29,88,313.4751639789198,674.6905164944536
122,169,1,1,1,3,1,1,0,2,29,88,309.91423427072374,678.2514462026485
123,169,1,1,1,3,1,1,0,2,29,88,307.9582026729914,680.2074778003816
124,169,1,1,1,3,1,1,0,2,29,88,307.08092220686814,681.0847582665044
125,169,1,1,1,3,1,1,0,2,29,88,306.51173638191096,681.6539440914618
126,169,1,1,1,3,1,1,0,2,29,88,306.21945885440454,681.9462216189684
127,169,1,1,1,3,1,1,0,2,29,88,305.33194050880513,682.8337399645677
128,169,1,1,1,3,1,1,0,2,29,88,304.4445932769528,683.72108719642
