Time Unit,Average Fear Level,Average Hunger Level,Average Energy Level
1,0,412.6652094,547.3347906
2,0,413.004648,546.995352
3,0,413.3476785,546.6523215
4,0,413.694266,546.305734
5,0,402.2628487,556.9208248
6,0,402.603342,556.5803315
7,0,402.3035771,556.8800964
8,0,402.0118273,557.1718462
9,0,389.441843,568.8914903
10,0,387.6266387,570.7066947
11,0,386.3632119,571.9701214
12,0,385.1298294,573.203504
13,0,383.9259389,574.4073945
14,0,382.750999,575.5823343
15,0,381.6044786,576.7288547
16,0,380.4858567,577.8474766
17,0,380.050566,578.2827673
18,0,379.6242824,578.7090509
19,0,378.4855676,579.8477657
20,0,377.3609806,580.9723528
21,0,375.4907499,582.8425834
22,0,373.6401457,584.6931876
23,0,372.5465784,585.7867549
24,0,371.3649265,586.9684068
25,0,370.1867409,588.1465924
26,0,369.0227735,589.3105598
27,0,367.8728845,590.4604488
28,0,366.7369354,591.5963979
29,0,365.6147892,592.7185442
30,0,407.1989268,551.1344065
31,0,389.6783996,567.7684089
32,0,387.7850325,569.661776
33,0,386.6703673,570.7764412
34,0,372.4045099,584.1172292
35,0,371.0168778,585.5048613
36,0,369.6452312,586.876508
37,0,367.6103285,588.9114106
38,0,365.5958848,590.9258544
39,0,362.9860892,593.53565
40,0,361.8419272,594.679812
41,0,359.238301,597.2834381
42,0,356.671276,599.8504631
43,0,353.3693592,603.15238
44,0,350.8741965,605.6475426
45,0,349.029025,607.4927141
46,0,347.991508,608.5302312
47,0,346.9775628,609.5441764
48,0,345.2954299,611.2263092
49,0,343.555959,612.9657801
50,0,341.8445199,614.6772192
51,0,340.1606509,616.3610882
52,0,337.806854,618.7148851
53,0,336.1771215,620.3446176
54,0,333.7533334,622.7684058
55,0,331.3616159,625.1601232
56,0,327.7155864,628.8061527
57,0,325.9242726,630.5974666
58,0,325.1357841,631.385955
59,0,324.3584676,632.1632716
60,36,361.2337802,595.2879589
61,120,343.1812558,612.3742998
62,120,340.6928765,614.8626791
63,120,339.429338,616.1262176
64,120,338.7166532,616.8389024
65,120,337.4747297,618.0808259
66,120,335.9576037,619.5979519
67,120,335.2757162,620.2798393
68,120,333.9355961,621.6199595
69,120,333.2736171,622.2819385
70,120,331.7385259,623.8170297
71,120,329.4794572,626.0760984
72,120,327.2295789,628.3259767
73,120,325.7514225,629.804133
74,120,323.7723609,631.7831946
75,120,322.1304332,633.4251223
76,120,321.3389926,634.216563
77,120,320.5584263,634.9971293
78,120,320.5056572,635.0498983
79,120,320.4582372,635.0973184
80,120,319.6670028,635.8885527
81,120,319.6340828,635.9214727
82,120,319.6064466,635.9491089
83,120,319.5840402,635.9715154
84,120,317.2798146,638.275741
85,120,316.7328453,638.8227102
86,120,316.7272201,638.8283354
87,120,316.7266132,638.8289424
88,120,317.4896718,638.0658838
89,120,318.2519013,637.3036542
90,155,357.1926014,598.3629542
91,136,338.0566734,616.4887811
92,136,338.0975136,616.4479409
93,136,338.1426227,616.4028318
94,136,337.9588659,616.5865886
95,136,337.7815304,616.7639242
96,136,337.6105501,616.9349044
97,136,337.4488376,617.0966169
98,136,337.2934634,617.2519911
99,136,336.2426203,618.3028343
100,136,335.2227415,619.322713
101,136,334.2332011,620.3122534
102,136,333.2733858,621.2720688
103,136,332.3426944,622.2027601
104,136,331.4405379,623.1049166
105,136,331.3665566,623.1788979
106,136,330.5807003,623.9647542
107,136,330.5176518,624.0278027
108,136,327.8822434,626.6632111
109,125,326.4098293,627.0785428
110,125,324.5419958,628.9463763
111,125,323.5721307,629.9162414
112,125,323.5127941,629.975578
113,125,323.4585173,630.0298548
114,125,324.1849194,629.3034527
115,125,323.9455916,629.5427805
116,125,323.7129839,629.7753882
117,125,323.487028,630.0013441
118,125,323.2676561,630.2207159
119,125,322.2400676,631.2483045
120,132,359.7178442,593.7705279
121,125,353.3805944,600.1077777
122,125,350.0059163,603.4824557
123,125,349.844314,603.6440581
124,125,349.0894571,604.398915
125,125,348.3282015,605.1601706
126,125,347.5768369,605.9115352
127,125,346.8352646,606.6531075
128,125,345.2408637,608.2475084
129,125,343.5662636,609.9221084
130,125,341.9086805,611.5796916
131,114,343.1943389,609.1866135
132,114,340.6843517,611.6966007
133,114,339.1689446,613.2120077
134,114,336.6481909,615.7327614
135,114,335.9500032,616.4309491
136,117,319.2652095,631.9543027
137,117,317.7146751,633.5048371
138,117,317.0032594,634.2162528
139,117,316.5458528,634.6736594
140,117,316.6662342,634.553278
141,117,315.8165303,635.4029819
142,117,314.977319,636.2421932
143,117,314.1484953,637.0710169
144,117,314.2811312,636.938381
145,117,314.416399,636.8031132
146,117,315.1011599,636.1183523
147,117,315.7851941,635.4343181
148,117,316.4685072,634.751005
149,117,316.248921,634.9705912
150,117,356.8049988,594.4145134
151,117,348.7461747,602.4733375
152,120,327.2668007,622.7331993
