Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
107,0,1,0,1
594,1,1,0,2
788,1,2,0,3
1054,2,2,0,4
1121,3,2,0,5
1127,3,3,0,6
1422,4,3,0,7
1474,4,4,0,8
1618,5,4,0,9
1725,6,4,0,10
1980,6,5,0,11
2056,7,5,0,12
2104,8,5,0,13
2186,9,5,0,14
2314,9,6,0,15
2640,9,7,0,16
2728,10,7,0,17
2985,11,7,0,18
3036,12,7,0,19
3177,12,8,0,20
3213,12,9,0,21
3252,13,9,0,22
3511,14,9,0,23
3622,15,9,0,24
3729,16,9,0,25
3918,17,9,0,26
4010,18,9,0,27
4164,19,9,0,28
4182,20,9,0,29
4490,21,9,0,30
4874,22,9,0,31
4900,23,9,0,32
