Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
2,1,0,0,1
65,1,0,1,2
303,2,0,1,3
317,2,1,1,4
782,2,1,2,5
790,3,1,2,6
853,3,2,2,7
1002,3,3,2,8
1042,4,3,2,9
1052,4,3,3,10
1091,5,3,3,11
1098,5,3,4,12
1322,5,4,4,13
1353,5,4,5,14
1392,6,4,5,15
1399,6,4,6,16
1487,6,5,6,17
1671,6,5,7,18
1700,6,5,8,19
1729,7,5,8,20
1908,8,5,8,21
1926,8,6,8,22
1972,8,6,9,23
2002,9,6,9,24
2002,9,6,10,25
2004,9,7,10,26
2014,9,7,11,27
2032,10,7,11,28
2093,10,7,12,29
2132,11,7,12,30
2209,12,7,12,31
2325,12,7,13,32
2352,12,8,13,33
2380,12,9,13,34
2510,13,9,13,35
2680,13,9,14,36
2714,14,9,14,37
2771,14,10,14,38
2795,15,10,14,39
2810,15,11,14,40
2903,15,12,14,41
2945,16,12,14,42
3017,16,13,14,43
3022,17,13,14,44
3031,17,13,15,45
3034,17,13,16,46
3037,18,13,16,47
3038,19,13,16,48
3056,19,13,17,49
3075,20,13,17,50
3092,20,14,17,51
3246,21,14,17,52
3323,21,15,17,53
3345,21,16,17,54
3357,22,16,17,55
3393,22,17,17,56
3407,22,18,17,57
3419,22,18,18,58
3434,23,18,18,59
3479,24,18,18,60
3504,25,18,18,61
3540,26,18,18,62
3570,27,18,18,63
3610,28,18,18,64
3658,29,18,18,65
3695,29,19,18,66
3731,29,20,18,67
3822,30,20,18,68
3830,30,21,18,69
3932,30,21,19,70
3941,31,21,19,71
4002,32,21,19,72
4002,32,22,19,73
4004,32,23,19,74
4011,33,23,19,75
4012,34,23,19,76
4016,34,23,20,77
4016,35,23,20,78
4030,35,23,21,79
4033,36,23,21,80
4053,37,23,21,81
4054,38,23,21,82
4134,39,23,21,83
4145,39,23,22,84
4177,40,23,22,85
4339,40,24,22,86
4362,41,24,22,87
4382,41,25,22,88
4408,42,25,22,89
4495,42,25,23,90
4508,43,25,23,91
4587,43,26,23,92
4658,44,26,23,93
4671,44,26,24,94
4740,44,27,24,95
4812,44,27,25,96
4826,45,27,25,97
4847,46,27,25,98
4848,47,27,25,99
4913,48,27,25,100
