Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
2,0,1,0,1
9,1,1,0,2
30,2,1,0,3
52,2,2,0,4
62,2,2,1,5
70,2,2,2,6
92,3,2,2,7
96,3,2,3,8
107,4,2,3,9
112,4,3,3,10
208,4,4,3,11
408,4,4,4,12
424,5,4,4,13
442,5,5,4,14
457,5,5,5,15
457,5,6,5,16
580,6,6,5,17
665,7,6,5,18
666,7,6,6,19
670,7,7,6,20
727,8,7,6,21
756,8,7,7,22
798,8,7,8,23
932,8,8,8,24
985,8,9,8,25
1002,8,10,8,26
1006,9,10,8,27
1014,9,10,9,28
1015,10,10,9,29
1018,10,11,9,30
1021,11,11,9,31
1022,11,11,10,32
1093,12,11,10,33
1114,13,11,10,34
1128,13,11,11,35
1162,13,12,11,36
1220,13,12,12,37
1247,13,12,13,38
1359,13,13,13,39
1367,13,14,13,40
1408,13,14,14,41
1440,14,14,14,42
1449,15,14,14,43
1468,15,15,14,44
1471,15,15,15,45
1493,16,15,15,46
1586,16,15,16,47
1612,16,15,17,48
1627,17,15,17,49
1665,17,15,18,50
1750,18,15,18,51
1776,18,16,18,52
1782,18,17,18,53
1794,19,17,18,54
1880,19,18,18,55
1939,20,18,18,56
2002,21,18,18,57
2002,22,18,18,58
2002,22,19,18,59
2006,22,19,19,60
2007,23,19,19,61
2013,24,19,19,62
2018,24,19,20,63
2018,24,19,21,64
2021,25,19,21,65
2022,25,19,22,66
2026,25,19,23,67
2077,26,19,23,68
2083,26,20,23,69
2163,26,21,23,70
2207,27,21,23,71
2248,27,22,23,72
2303,28,22,23,73
2323,29,22,23,74
2339,29,22,24,75
2352,29,22,25,76
2386,29,23,25,77
2413,30,23,25,78
2425,31,23,25,79
2428,32,23,25,80
2511,32,24,25,81
2516,33,24,25,82
2524,34,24,25,83
2621,34,24,26,84
2621,34,24,27,85
2625,34,24,28,86
2640,34,24,29,87
2658,35,24,29,88
2721,36,24,29,89
2726,37,24,29,90
2757,37,25,29,91
2766,37,25,30,92
2813,37,26,30,93
2816,37,26,31,94
2830,38,26,31,95
2859,38,27,31,96
2996,39,27,31,97
3008,40,27,31,98
3011,41,27,31,99
3020,42,27,31,100
3043,42,27,32,101
3047,42,27,33,102
3063,43,27,33,103
3064,44,27,33,104
3069,44,27,34,105
3070,45,27,34,106
3072,45,27,35,107
3095,45,28,35,108
3144,45,29,35,109
3150,46,29,35,110
3154,46,30,35,111
3159,46,30,36,112
3166,46,30,37,113
3169,47,30,37,114
3171,48,30,37,115
3176,48,30,38,116
3241,49,30,38,117
3242,49,31,38,118
3253,49,31,39,119
3280,50,31,39,120
3382,51,31,39,121
3463,51,31,40,122
3474,51,31,41,123
3490,52,31,41,124
3503,53,31,41,125
3521,53,32,41,126
3585,54,32,41,127
3594,55,32,41,128
3712,55,32,42,129
3749,55,32,43,130
3764,55,32,44,131
3822,55,33,44,132
3854,56,33,44,133
3939,57,33,44,134
3972,58,33,44,135
3988,59,33,44,136
4022,60,33,44,137
4042,60,33,45,138
4047,61,33,45,139
4059,61,33,46,140
4102,62,33,46,141
4110,63,33,46,142
4124,63,33,47,143
4132,64,33,47,144
4136,65,33,47,145
4191,65,34,47,146
4207,65,34,48,147
4208,66,34,48,148
4220,66,34,49,149
4336,67,34,49,150
4363,67,34,50,151
4389,67,34,51,152
4425,67,34,52,153
4425,68,34,52,154
4437,69,34,52,155
4485,69,34,53,156
4521,69,34,54,157
4566,69,34,55,158
4627,70,34,55,159
4834,70,35,55,160
5025,71,35,55,161
5069,72,35,55,162
5077,72,35,56,163
5080,73,35,56,164
5091,73,35,57,165
5165,74,35,57,166
5172,74,35,58,167
5227,75,35,58,168
5430,75,35,59,169
5447,75,35,60,170
5463,75,35,61,171
5536,75,36,61,172
5575,75,36,62,173
5584,76,36,62,174
5840,76,37,62,175
5845,76,37,63,176
6002,77,37,63,177
6008,77,37,64,178
6068,77,37,65,179
6091,77,37,66,180
6128,78,37,66,181
6194,79,37,66,182
6198,79,37,67,183
6299,79,37,68,184
6385,80,37,68,185
6424,80,37,69,186
6428,80,37,70,187
6611,80,37,71,188
6645,81,37,71,189
6790,81,37,72,190
6963,81,37,73,191
7117,81,37,74,192
7120,82,37,74,193
7139,83,37,74,194
7232,83,37,75,195
7294,83,37,76,196
7362,83,37,77,197
7400,84,37,77,198
7479,84,37,78,199
7704,85,37,78,200
7790,85,37,79,201
7926,86,37,79,202
7951,87,37,79,203
7958,87,38,79,204
7983,87,38,80,205
8015,87,38,81,206
8056,88,38,81,207
8153,88,38,82,208
8569,89,38,82,209
8677,89,38,83,210
8773,89,38,84,211
8942,89,38,85,212
9005,89,38,86,213
9030,89,38,87,214
9063,89,38,88,215
9160,89,38,89,216
9190,89,38,90,217
9533,89,38,91,218
9750,89,38,92,219
10088,89,38,93,220
10130,89,38,94,221
10160,89,38,95,222
11002,89,38,96,223
11009,89,38,97,224
11030,89,38,98,225
11068,89,38,99,226
11711,89,38,100,227
11910,89,38,101,228
12004,89,38,102,229
12112,89,38,103,230
12243,89,38,104,231
12693,89,38,105,232
12726,89,38,106,233
13048,89,38,107,234
13110,89,38,108,235
13114,89,38,109,236
13271,89,38,110,237
13415,89,38,111,238
13433,89,38,112,239
13884,89,38,113,240
13946,89,38,114,241
13952,89,38,115,242
14004,89,38,116,243
14374,89,38,117,244
14501,89,38,118,245
15039,89,38,119,246
15242,89,38,120,247
15544,89,38,121,248
15689,89,38,122,249
16540,89,38,123,250
16704,89,38,124,251
17006,89,38,125,252
17043,89,38,126,253
17729,89,38,127,254
17946,89,38,128,255
18250,89,38,129,256
18566,89,38,130,257
18591,89,38,131,258
18995,89,38,132,259
19085,89,38,133,260
19439,89,38,134,261
19740,89,38,135,262
20067,89,38,136,263
20560,89,38,137,264
20731,89,38,138,265
21003,89,38,139,266
21134,89,38,140,267
21163,89,38,141,268
21374,89,38,142,269
22093,89,38,143,270
22952,89,38,144,271
23018,89,38,145,272
24054,89,38,146,273
24115,89,38,147,274
24953,89,38,148,275
25254,89,38,149,276
25590,89,38,150,277
27002,89,38,151,278
27532,89,38,152,279
27833,89,38,153,280
28134,89,38,154,281
28840,89,38,155,282
29298,89,38,156,283
30081,89,38,157,284
30102,89,38,158,285
30382,89,38,159,286
31002,89,38,160,287
31021,89,38,161,288
31325,89,38,162,289
31341,89,38,163,290
31455,89,38,164,291
31656,89,38,165,292
31661,89,38,166,293
31888,89,38,167,294
31957,89,38,168,295
31980,89,38,169,296
32015,89,38,170,297
32111,89,38,171,298
32174,89,38,172,299
32189,89,38,173,300
32358,89,38,174,301
32440,89,38,175,302
32457,89,38,176,303
32714,89,38,177,304
32780,89,38,178,305
32790,89,38,179,306
33050,89,38,180,307
33059,89,38,181,308
33062,89,38,182,309
33064,89,38,183,310
33149,89,38,184,311
33158,89,38,185,312
33201,89,38,186,313
33206,89,38,187,314
33277,89,38,188,315
33351,89,38,189,316
33365,89,38,190,317
33439,89,38,191,318
33518,89,38,192,319
33575,89,38,193,320
33580,89,38,194,321
33676,89,38,195,322
33703,89,38,196,323
33819,89,38,197,324
33846,89,38,198,325
33872,89,38,199,326
33872,89,38,200,327
34025,89,38,201,328
34055,89,38,202,329
34088,89,38,203,330
34090,89,38,204,331
34101,89,38,205,332
34114,89,38,206,333
34190,89,38,207,334
34212,89,38,208,335
34282,89,38,209,336
34364,89,38,210,337
34389,89,38,211,338
34421,89,38,212,339
34467,89,38,213,340
34513,89,38,214,341
34644,89,38,215,342
34874,89,38,216,343
34906,89,38,217,344
34952,89,38,218,345
34980,89,38,219,346
35002,89,38,220,347
35053,89,38,221,348
35054,89,38,222,349
35116,89,38,223,350
35119,89,38,224,351
35136,89,38,225,352
35252,89,38,226,353
35261,89,38,227,354
35271,89,38,228,355
35281,89,38,229,356
35452,89,38,230,357
35524,89,38,231,358
35544,89,38,232,359
35576,89,38,233,360
35585,89,38,234,361
35638,89,38,235,362
35649,89,38,236,363
35694,89,38,237,364
35769,89,38,238,365
35875,89,38,239,366
35926,89,38,240,367
35994,89,38,241,368
36087,89,38,242,369
36096,89,38,243,370
36157,89,38,244,371
36165,89,38,245,372
36326,89,38,246,373
36344,89,38,247,374
36444,89,38,248,375
36698,89,38,249,376
36761,89,38,250,377
36835,89,38,251,378
36859,89,38,252,379
36985,89,38,253,380
37002,89,38,254,381
37042,89,38,255,382
37058,89,38,256,383
37133,89,38,257,384
37271,89,38,258,385
37391,89,38,259,386
37452,89,38,260,387
37482,89,38,261,388
37510,89,38,262,389
37783,89,38,263,390
37877,89,38,264,391
37907,89,38,265,392
38002,89,38,266,393
38119,89,38,267,394
38208,89,38,268,395
38483,89,38,269,396
38556,89,38,270,397
38851,89,38,271,398
38885,89,38,272,399
38941,89,38,273,400
39109,89,38,274,401
39159,89,38,275,402
39290,89,38,276,403
39377,89,38,277,404
39501,89,38,278,405
39750,89,38,279,406
39856,89,38,280,407
39889,89,38,281,408
39909,89,38,282,409
39964,89,38,283,410
40004,89,38,284,411
40027,89,38,285,412
40051,89,38,286,413
40055,89,38,287,414
40208,89,38,288,415
40362,89,38,289,416
40427,89,38,290,417
40463,89,38,291,418
40509,89,38,292,419
40593,89,38,293,420
40867,89,38,294,421
40890,89,38,295,422
41002,89,38,296,423
41207,89,38,297,424
42009,89,38,298,425
42191,89,38,299,426
42524,89,38,300,427
42832,89,38,301,428
43440,89,38,302,429
43507,89,38,303,430
43741,89,38,304,431
44570,89,38,305,432
45114,89,38,306,433
45280,89,38,307,434
46115,89,38,308,435
48005,89,38,309,436
48553,89,38,310,437
49272,89,38,311,438
