Time Unit,Average Fear Level,Average Hunger Level,Average Energy Level
Time Unit,Vervet Population,Predator Population
83,58,324.3822140286679,608.9511193046659
84,58,323.5769647076962,609.7563686256375
85,58,322.94660114665464,610.386732186679
86,58,322.2261576928899,611.1071756404433
87,58,321.6537308532946,611.6796024800389
88,58,321.1819752394122,612.1513580939213
89,58,320.75329577431114,612.5800375590226
90,93,362.71590952032506,570.6174238130086
91,95,340.83309728401224,590.8439213495283
92,95,336.9569164719961,594.7201021615443
93,95,335.03918150736416,596.6378371261766
94,95,333.24341787038384,598.4336007631566
95,96,327.8799408410782,603.3700591589221
96,96,326.9830030294709,604.2669969705291
97,96,326.2116406830871,605.0383593169132
98,96,325.64144175937383,605.608558240626
99,96,321.0628922613588,609.754717801534
100,96,320.35448244396,610.4631276189332
101,97,315.52613957985056,614.8536072555925
102,97,314.7438529728882,615.6358938625547
103,97,313.7234956587794,616.6562511766638
104,97,312.803511532345,617.5762353030977
105,97,311.700833911836,618.6789129236076
106,97,310.6323654378891,619.747381397554
107,97,309.69154403060105,620.6882028048418
108,97,308.6283953910886,621.7513514443549
109,97,307.28816996983284,623.0915768656106
110,97,305.806745108263,624.57300172718
111,97,304.18125221035484,626.1984946250883
112,97,302.84060114079534,627.5391456946472
113,97,301.44070029608395,628.9390465393592
114,97,300.1684520786322,630.2112947568111
115,97,298.8652881282915,631.5144587071512
116,97,298.1602193415244,632.2195274939186
117,97,296.8676935935407,633.5120532419021
118,97,295.3253375869628,635.05440924848
119,97,294.3963823588966,635.9833644765465
120,180,334.7394425601555,595.6403042752876
121,181,324.6951441537249,605.2411615787591
122,178,322.4660857911371,607.0210936960418
123,178,320.7028988713485,608.784280615831
124,178,319.0333203429092,610.4538591442705
125,178,317.82898401321364,611.6581954739659
126,178,316.790163839007,612.6970156481723
127,178,316.2396719132232,613.2475075739562
128,178,315.50950013906953,613.97767934811
129,178,315.0164206200955,614.4707588670835
130,178,314.3607835971076,615.1263958900721
131,178,313.762537496036,615.7246419911436
132,178,313.33362507569456,616.1535544114848
133,178,313.0997092647298,616.3874702224497
134,178,312.8893450000845,616.5978344870948
135,178,312.61351601669446,616.8736634704852
136,178,311.9675241386289,617.5196553485507
137,178,311.508694898476,617.9784845887033
138,178,311.40899484003785,618.0781846471419
139,178,311.21209184152093,618.2750876456591
140,179,306.65264526061827,622.3796128038981
141,179,306.3131799126813,622.7190781518352
142,179,305.7240969477247,623.3081611167917
143,179,305.18049888727876,623.8517591772376
144,179,304.573543564158,624.4587145003584
145,179,303.8339641355894,625.1982939289271
146,179,303.099420435691,625.9328376288255
147,179,302.1645040901455,626.8677539743707
148,180,297.2097179832545,631.3617105881739
149,180,296.62239842206986,631.9490301493588
150,298,338.6764162952561,589.8950122761725
151,298,333.84978927484957,594.7216392965786
152,298,330.4778999239823,598.0935286474462
153,298,328.78580851397834,599.7856200574504
154,298,327.49947966303336,601.0719489083954
155,298,326.2838976242166,602.287530947212
156,298,324.9774070743205,603.5940214971083
157,298,324.24488888753257,604.3265396838959
158,298,323.651945378824,604.9194831926043
159,298,323.14422790099394,605.4272006704347
160,298,322.6851138628481,605.8863147085801
161,298,322.12418868832793,606.4472398831005
162,298,321.505783222086,607.0656453493426
163,298,320.9096259337744,607.6618026376544
164,298,320.51729563741094,608.0541329340174
165,298,319.6639206750499,608.9075078963789
166,298,319.36919900589123,609.2022295655377
167,300,314.69528335337657,613.4092918100221
168,300,313.8826411250218,614.2219340383772
169,300,312.9787365306501,615.1258386327484
170,300,312.3639753801659,615.7405997832326
171,300,311.89416428264815,616.2104108807504
172,300,311.475968563346,616.6286066000528
173,300,310.8588931808442,617.2456819825547
174,300,310.515381571881,617.5891935915182
175,300,310.1227130100587,617.9818621533402
176,300,309.78268412300866,618.3218910403903
177,300,309.4945311127493,618.6100440506494
178,300,309.0989950836422,619.0055800797563
179,300,308.56011025846715,619.5444649049317
180,364,351.1773379997397,576.9272371636588
181,364,347.0686169366325,581.0359582267662
182,364,345.04987991501787,583.0546952483808
183,364,344.0584219671846,584.0461531962143
184,364,343.24276369871586,584.8618114646827
185,364,342.6543226634235,585.4502524999751
186,364,341.8792052022547,586.225369961144
187,364,341.54795742047554,586.5566177429232
188,364,340.8423936554364,587.2621815079617
189,364,340.60624137495836,587.4983337884403
190,364,340.15929950104675,587.9452756623522
191,364,339.8056375417083,588.2989376216902
192,364,339.6060713259451,588.4985038374534
193,364,339.4118692825874,588.6927058808117
194,364,339.21907172983055,588.8855034335683
195,364,339.12753586213023,588.9770393012683
196,364,338.9042500228253,589.2003251405731
197,366,334.4671440695111,593.1644348778572
198,366,334.1695665576748,593.4620123896932
199,366,334.10570425286664,593.5258746945019
200,366,334.04931310897916,593.5822658383892
201,366,333.8856093702345,593.7459695771344
202,366,333.8295237467587,593.8020552006094
203,366,333.4500224625679,594.1815564848009
204,366,333.1989806518142,594.4325982955545
205,366,332.004587015368,595.6269919320006
206,366,331.59173412112654,596.0398448262415
207,366,331.07967493090166,596.5519040164669
208,366,330.368569795613,597.2630091517559
209,366,329.5142710999516,598.117307847417
210,433,372.1975377818028,555.4340411655658
211,439,359.9080303281772,566.7586363384897
212,439,357.8429778657061,568.8236888009603
213,439,357.02990888198525,569.6367577846812
214,439,356.2749691689585,570.391697497708
215,439,355.4977607252082,571.1689059414585
216,439,354.7931727676876,571.8734938989792
217,439,354.3923118526795,572.2743548139871
218,439,353.91628846160467,572.7503782050616
219,439,353.4463591559263,573.2203075107401
220,439,352.83070389703556,573.8359627696311
221,439,352.1672053888692,574.4994612777974
222,439,351.5417989601064,575.12486770656
223,439,350.818431144965,575.8482355217016
224,439,350.00338249832396,576.6632841683428
225,439,349.16232005625363,577.5043466104131
226,439,347.70631457793655,578.9603520887299
227,439,346.5369426221441,580.1297240445224
228,439,345.34749832990053,581.3191683367668
229,439,344.01678694485076,582.6498797218156
230,439,342.8330321825538,583.8336344841132
231,439,341.67946386661805,584.9872028000484
232,439,340.6918492652311,585.9748174014356
233,439,339.55911526486824,587.1075514017982
234,439,338.26586512293636,588.4008015437307
235,439,337.03660854921156,589.6300581174551
236,439,335.61374174520085,591.0529249214655
237,439,334.087443600369,592.5792230662978
238,439,332.4055083812813,594.261158285386
239,439,330.9030082384949,595.7636584281719
240,521,373.3344001381911,553.3322665284755
241,518,365.00888703320726,561.1656096110881
242,518,361.46474861957154,564.7097480247235
243,518,359.0208991038026,567.1535975404929
244,518,357.3186853257503,568.8558113185446
245,518,355.9600893916884,570.2144072526071
246,518,354.45763187869335,571.7168647656019
247,518,353.13478420165546,573.0397124426397
248,518,351.92735110961996,574.247145534675
249,518,350.91252291908535,575.26197372521
250,518,350.11176630133286,576.0627303429627
251,518,349.18277548540533,576.9917211588897
252,518,348.30731887030197,577.8671777739937
253,518,347.3877677852273,578.7867288590678
254,518,346.16031653858226,580.0141801057127
255,518,345.4748062470472,580.6996903972484
256,518,344.7785712458913,581.3959253984033
257,518,343.8687188182984,582.305777825997
258,518,343.1623734318619,583.0121232124332
259,518,342.38808592058393,583.7864107237109
260,518,341.6080328659728,584.5664637783226
261,518,340.6316167089006,585.5428799353945
262,518,339.88977872941064,586.2847179148848
263,518,339.1786691731185,586.9958274711767
264,518,338.3227711497702,587.8517254945255
265,518,337.73467569644697,588.4398209478481
266,518,337.2219700515068,588.9525265927884
267,518,336.76738491962516,589.4071117246704
268,518,336.30585344664047,589.868643197655
269,518,335.7587309301879,590.4157657141078
270,587,380.5328982199489,545.6415984243465
271,589,369.80794662179005,555.3621214054207
272,589,368.55946943649934,556.6105985907117
273,589,367.74868871341926,557.4213793137918
274,589,366.4160511661714,558.7540168610395
275,589,365.7099079149195,559.4601601122915
276,589,365.13428662552695,560.0357814016838
277,589,364.47597741439165,560.6940906128193
278,589,363.5237461278564,561.6463218993547
279,589,362.70895343599767,562.4611145912131
280,589,362.14692966004327,563.0231383671677
281,589,361.8254406147988,563.3446274124118
282,589,361.07138455409626,564.0986834731148
283,589,360.77030497549373,564.3997630517173
284,589,360.2928472182581,564.8772208089531
285,589,359.82650657574413,565.3435614514666
286,589,359.4202574064538,565.7498106207571
287,589,358.86523757847533,566.3048304487354
288,589,358.43050603285775,566.7395619943533
289,589,357.67306130586405,567.4970067213469
290,589,356.38972954912487,568.7803384780858
291,589,355.49563826643583,569.6744297607751
292,589,354.5345065767184,570.6355614504922
293,589,353.4368415027231,571.7332265244879
294,589,352.67330787339364,572.4967601538176
295,589,352.0571294020416,573.1129386251697
296,589,351.54275635361427,573.6273116735963
297,589,351.1071820943952,574.0628859328157
298,589,350.27431348570104,574.8957545415095
299,589,349.5022826234304,575.6677854037806
300,602,392.8750601720532,532.2950078551576
301,602,390.52280759449866,534.6472604327118
302,602,388.4194548162615,536.7506132109492
303,602,386.28091298846556,538.8891550387453
304,602,383.735187571499,541.4348804557119
305,602,381.30429228202047,543.8657757451906
306,602,378.8827452414295,546.2873227857815
307,602,376.6928980219422,548.4771700052684
308,602,374.39350701163,550.7765610155811
309,602,371.70552316218664,553.4645448650243
310,602,370.1335406777596,555.0365273494511
311,602,368.78503695243757,556.3850310747735
312,602,367.0795577118383,558.0905103153727
313,602,365.2386297818845,559.9314382453266
314,602,363.5251047783812,561.64496324883
315,602,362.02120006487723,563.1488679623333
316,602,361.02760375130487,564.1424642759057
317,602,360.1730943634548,564.9969736637562
318,602,358.97625570808793,566.1938123191229
319,602,357.92318710786674,567.2468809193441
320,602,356.68686389809636,568.4832041291144
321,602,355.7395068960671,569.4305611311437
322,602,354.2402122851531,570.9298557420578
323,602,352.60965185445957,572.5604161727513
324,602,351.10750311728214,574.0625649099288
325,602,349.257265802938,575.9128022242729
326,602,347.2264738901442,577.9435941370664
327,602,345.0959168663959,580.0741511608152
328,602,342.9656446639021,582.2044233633086
329,602,341.1680712052489,584.001996821962
330,625,383.921578167709,541.2484898595019
331,623,377.10742861833074,547.5501056282446
332,623,375.6520218307152,549.0055124158599
333,623,374.4645795270341,550.1929547195411
334,623,373.2489432403262,551.408591006249
335,623,372.2457082554125,552.4118259911627
